年月,國別,台北市[金額，新台幣],台北市[筆數],新北市[金額，新台幣],新北市[筆數],桃園市[金額，新台幣],桃園市[筆數],台中市[金額，新台幣],台中市[筆數],台南市[金額，新台幣],台南市[筆數],高雄市[金額，新台幣],高雄市[筆數]
103年01月,英國,496125179,342066,344982789,437897,141851684,191430,180819560,217414,90346865,118600,145108823,181931
103年01月,日本,469974255,96150,291510252,67287,102540748,23358,122552725,26413,69605355,15078,117277658,24885
103年01月,美國,536537571,85967,251233029,52110,93963659,19215,117086598,22170,58460183,11635,79612737,17584
103年01月,中國,253713182,53663,196341488,57885,82080173,23270,93549552,28470,36444194,12944,65341725,20725
103年01月,香港,262807167,33234,136049784,24712,43087584,8423,69011832,11286,30308178,5617,49882988,9263
103年01月,新加坡,203546406,32859,132559416,28311,46191349,10429,55395987,12471,26816531,6083,37912236,9184
103年01月,法國,151572114,7627,63176546,4155,21136249,1505,43525644,1922,14602674,940,19117900,1226
103年01月,澳門,143748997,4322,68073626,3089,25053838,1206,19862709,1419,9454569,705,14357564,1149
103年01月,南韓,73824932,12913,67620883,12088,30410959,5037,32222100,5626,17410349,3095,30173722,5244
103年01月,盧森堡,51507922,94843,46805603,89807,21364230,33288,29326186,48037,10022050,20939,16785718,34456
103年02月,英國,441027725,329266,353766265,413383,139007304,185792,174829955,201128,81786276,112479,137590033,171869
103年02月,日本,403285503,80590,272456560,60479,88471296,19795,130036501,24186,62699086,13815,111186326,22180
103年02月,美國,451701610,74108,223516607,44768,84706318,17450,95562492,19909,44444545,10020,78627539,16537
103年02月,中國,172103240,41766,157426249,46120,60146334,18481,68422767,21724,30575048,10632,43799364,17148
103年02月,香港,214191101,25589,112448752,19460,39918711,6522,53942170,8399,26351712,4624,46684878,7142
103年02月,新加坡,169814488,27766,128479070,23718,37034818,8433,44909526,9921,22232935,4910,34478317,7909
103年02月,法國,121838327,5984,67188826,3728,23126400,1361,26329179,1527,13853978,866,25279701,1108
103年02月,南韓,66209461,11280,72147005,11396,38399288,4744,33051193,4810,16634013,2559,26647357,4543
103年02月,澳門,113322714,3209,39248693,2256,15207442,916,16146026,920,7198489,496,20861860,920
103年02月,義大利,88785271,3893,42438236,2207,18319330,810,29086200,1226,13108004,533,16036965,676
103年03月,英國,526291345,359388,423407904,454870,162445315,203873,207166004,223756,91877120,123142,161004500,189842
103年03月,日本,424400066,87618,327798405,70602,102120936,23486,132454567,27347,72438988,16039,134371665,27556
103年03月,美國,487432902,83006,240944773,49539,88536754,18655,115889580,21994,60031663,10899,101347546,18570
103年03月,中國,285337301,64685,241907164,69616,99946188,28326,110122145,34086,50611907,15923,72305480,25465
103年03月,香港,268785232,31292,144018032,23453,50664477,7872,65807238,10315,32853886,5425,56400400,9195
103年03月,新加坡,204310010,31666,138623656,27888,43387733,10268,67508256,12611,26094166,5723,42522931,9151
103年03月,法國,126613016,7162,64294930,3992,19806372,1283,34243263,2210,27130330,1098,23941886,1544
103年03月,南韓,85484073,14685,71558305,15137,31753989,6168,32347364,6135,18943628,3535,28169115,5662
103年03月,澳門,114686774,4035,82868016,2902,27675745,1130,17180215,1192,11072654,712,14366234,1095
103年03月,義大利,96480952,4288,45142398,2735,15320804,983,35389702,1261,14374836,740,15029917,955
103年04月,英國,502006576,199793,356817118,283609,134107476,132170,155122150,138564,89106484,81861,143228895,126885
103年04月,日本,475294658,90111,304941879,67024,107010239,23591,128057514,26479,74194327,17000,128006368,27972
103年04月,美國,520088775,82724,236120642,47350,87987283,18122,105806253,20714,46953607,10043,83267967,16800
103年04月,中國,281331327,60531,218684838,64445,84876068,26040,101101348,31272,42729318,15384,66158003,23725
103年04月,香港,290089157,28754,140873817,21678,39295517,7200,63057857,8976,32627429,5364,48130776,7929
103年04月,新加坡,182788779,31861,125950625,29229,45890229,11274,58344036,12540,27805473,6432,38428921,9828
103年04月,盧森堡,111378484,195547,103223408,192808,46527105,77855,46166039,88192,22860417,45102,36859922,71026
103年04月,法國,132798388,7470,73871953,4456,25407537,1749,29912793,1941,17919278,1094,29440325,1773
103年04月,澳門,102821334,3288,95198330,2318,22375735,916,25721439,992,7193997,495,10675548,898
103年04月,南韓,78185081,15964,72099718,15135,34927120,6357,29677943,6180,18076585,3673,30132132,5711
103年05月,英國,542731166,221285,410241154,316034,149754678,146269,198110041,157463,86464869,89663,142371355,140305
103年05月,美國,557837539,91908,266115844,53051,96566737,19906,121351615,23511,67444383,11301,95676488,19272
103年05月,日本,424599084,88256,307112569,70995,106841779,24221,132697002,27944,75159129,16761,126138911,26929
103年05月,中國,282339940,64583,229886045,70237,88188993,27578,107424708,35067,39444763,16367,67263812,25500
103年05月,香港,261110020,30559,128669746,22826,45530559,7585,55065149,9733,28072096,5323,51433167,8500
103年05月,新加坡,183564376,29795,118553763,24330,45176687,9248,63271495,11064,28575904,5371,38319925,8333
103年05月,盧森堡,115200818,204512,100433437,203275,46663143,82399,48294355,97226,32366076,49392,34174060,77209
103年05月,法國,141861538,8729,76153726,5457,30874646,1917,48409677,2480,17175407,1188,28309569,2069
103年05月,南韓,82682322,17816,82609024,16900,37538681,6688,31279344,6355,18989061,3590,30168594,6174
103年05月,義大利,114575874,5823,48249246,3117,16982588,1123,43150901,1568,10107083,583,17219267,1110
103年06月,英國,545677629,228168,453420074,324655,162920491,147927,196601221,161080,96280813,91789,168269595,145132
103年06月,日本,464641883,103107,313297456,78749,114373857,27593,130324866,29249,70781154,16693,125965219,28417
103年06月,美國,573511203,98304,261805785,58077,92060037,22053,118485956,26302,62694728,12582,97431314,20710
103年06月,中國,272552124,65404,232436535,71789,93435375,27682,112296630,35287,44539723,16856,73506903,26846
103年06月,香港,292779591,35422,142617923,26612,49662382,8685,62917003,11540,34849086,5949,60691523,10343
103年06月,法國,238553581,13839,117581948,7252,38876447,2409,48349284,3326,20482527,1418,44261998,2679
103年06月,新加坡,179152204,28983,121814267,24376,45082644,9106,56030291,10189,29476890,5026,38623261,8319
103年06月,盧森堡,102482763,197801,104425753,199529,40800882,78101,47162577,96869,27577328,47942,33821665,75188
103年06月,南韓,93868068,18898,87932686,17690,31826428,6680,36084601,7088,19013262,3712,31668545,6681
